Datum,NS - H (mnm),NS -Z (cm),NS - Proticaj (m3/s),NS - T vode   (°C),NS - pH (-),NS - Ep. (µS/cm),NS - O2 (mg/l),NS - O2 (%),NS - HPK (mg/l),NS - NH4-N (mg/l),NS - NO2-N  (mg/l)
10/23/2012,73.72,199,2680,12,8.2,421,9.4,90,2.6,0.04,0.005
10/24/2012,73.61,188,2550,12.5,8.2,430,10.2,98,3,0.03,0.005
10/25/2012,73.48,175,2430,12.5,8.2,433,9.8,94,2.4,0.04,0.005
10/26/2012,73.35,162,2320,12.5,8.2,438,9.7,92,2.5,0.03,0.004
10/27/2012,73.26,153,2230,12.5,8.2,424,9.2,87,2.7,0.03,0.004
10/28/2012,73.15,142,2120,12.5,8.2,414,9.7,91,2.5,0.03,0.004
10/29/2012,73.05,132,2070,12,8.2,425,9.8,91,2.5,0.04,0.004
10/30/2012,72.99,126,2040,11,8.2,422,9.7,88,2.5,0.04,0.004
10/31/2012,73.03,130,2080,11,8.2,424,9.9,88,2.9,0.04,0.005
11/1/2012,73.3,157,2320,10,8.2,417,10.8,96,3,0.05,0.005
11/2/2012,73.51,178,2400,9.5,8.2,413,10.3,91,3,0.05,0.006
11/3/2012,73.59,186,2440,9,8.2,416,10.2,90,2.7,0.06,0.007
11/4/2012,73.57,184,2400,9.5,8.2,420,10.3,91,2.8,0.05,0.006
11/5/2012,73.58,185,2400,9,8.1,417,11,98,3.1,0.06,0.007
11/6/2012,73.61,188,2410,9.5,8.1,431,10.5,91,3.5,0.05,0.005
11/7/2012,73.65,192,2460,9,8.1,430,11.3,99,3,0.05,0.007
11/8/2012,73.74,201,2550,9,8.1,428,10.9,95,2.9,0.09,0.006
11/9/2012,73.95,222,2780,9,8.1,427,10.8,94,3.2,0.05,0.007
11/10/2012,74.31,258,3140,9,8,420,10.5,91,2.9,0.05,0.008
11/11/2012,74.68,295,3460,9,7.95,420,10.4,90,3.2,0.085,0.006
11/12/2012,74.87,314,3610,9,7.9,420,10.3,89,3.5,0.12,0.004
11/13/2012,74.91,318,3670,9,8.1,423,10.4,89,3.6,0.09,0.003
11/14/2012,74.85,312,3620,8.3,8.1,402,11,93,3.4,0.09,0.006
11/15/2012,74.75,302,3530,8.4,8.1,425,11.2,95,3.6,0.11,0.01
11/16/2012,74.64,291,3390,8,8.1,415,12,102,3.9,0.09,0.009
11/17/2012,74.55,282,3350,8,8.1,422,10.7,90,3.2,0.07,0.003
11/18/2012,74.51,278,3320,7.5,8,428,10.7,91,3.2,0.06,0.006
11/19/2012,74.43,270,3240,7,8.1,423,11,93,2.8,0.05,0.008
11/20/2012,74.29,256,3090,7.4,8.1,439,10.8,92,3.2,0.05,0.009
11/21/2012,74.14,241,2950,7.8,8.1,440,10.7,91,2.9,0.06,0.008
11/22/2012,73.97,224,2780,8,8.1,441,10.9,92,3.8,0.06,0.006
11/23/2012,73.8,207,2630,8,8.1,431,10.8,91,3.3,0.07,0.008
11/24/2012,73.65,192,2520,8.2,8,438,10.9,92,3.2,0.06,0.008
11/25/2012,73.53,180,2440,8,7.9,430,11.1,94,3.3,0.06,0.007
11/26/2012,73.44,171,2380,8.2,8.1,445,11.2,98,3,0.05,0.007
11/27/2012,73.35,162,2300,8.5,8.1,448,11.5,98,3,0.05,0.008
11/28/2012,73.25,152,2210,8.5,8.1,444,10.8,92,3.6,0.05,0.006
11/29/2012,73.15,142,2120,8.4,8.1,454,11.2,97,2.8,0.05,0.006
11/30/2012,73.08,135,2050,9,8.1,450,10.7,92,2.6,0.05,0.006
12/1/2012,73.03,130,2030,8,8,436,10.7,91,2.6,0.04,0.007
12/2/2012,73.02,129,2060,7.4,8.1,445,10.7,91,2.7,0.05,0.007
12/3/2012,73.03,130,2090,8,8.1,459,12.2,102,2.9,0.04,0.006
12/4/2012,73.08,135,2130,7,8.1,463,11,91,2.8,0.04,0.008
12/5/2012,73.23,150,2120,7.4,8.1,472,11.2,92,2.8,0.04,0.006
12/6/2012,73.32,159,2150,6.6,8.1,461,11.2,90,2.5,0.05,0.007
12/7/2012,73.36,163,2160,6,8.1,470,11.4,91,2.6,0.05,0.007
12/8/2012,73.41,168,2210,5,8.1,474,11.9,91,2.9,0.05,0.006
12/9/2012,73.43,170,2160,5,8.1,473,11.775,91,2.825,0.05,0.00625
12/10/2012,73.37,164,2130,3.3,8.1,473.25,11.80625,91,2.84375,0.05,0.0061875
12/11/2012,73.3,157,2070,3.5,8.1,473.1875,11.7984375,91,2.8390625,0.05,0.006203125
12/12/2012,73.2,147,2020,2.8,8.1,497,12.9,94,2.9,0.06,0.009
12/13/2012,73.13,140,1990,2,8.1,506,12.9,92,3.4,0.06,0.008
12/14/2012,73.07,134,1960,2,8.1,505,13.6,97,3.1,0.04,0.007
12/15/2012,73.04,131,1940,1.8,8.1,505.25,13.425,95.75,3.175,0.045,0.00725
12/16/2012,73.01,128,1900,2,8.1,505.5,13.05,94.25,2.8,0.07,0.00875
12/17/2012,72.97,124,1890,2,8.1,503,13,94,2.8,0.07,0.009
12/18/2012,72.97,124,1890,2,8.1,513,13.2,95,2.8,0.07,0.008
12/19/2012,72.99,126,1890,2,8.1,527,12.8,93,2.8,0.07,0.008
12/20/2012,73.06,133,1890,2,8.1,479,12.8,93,2.4,0.08,0.008
12/21/2012,73.26,153,2020,3.4,8.1,462,12.8,93,2.9,0.1,0.012
12/22/2012,73.55,182,2320,4.3,8.2,513,12.2,88,3.1,0.09,0.011
12/23/2012,73.85,212,2640,5.2,8.1,524,12.5,91,3.3,0.09,0.014
12/24/2012,74.04,231,2760,3,8.3,489,12.5,92,3.7,0.08,0.013
12/25/2012,74.06,233,2770,3,8.3,548,12.6,93,3.1,0.1,0.014
12/26/2012,74.05,232,2790,2.8,8.4,498,12.7,94,3.3,0.1,0.014
12/27/2012,74.21,248,3020,3,8.2,546,12.7,94,3,0.1,0.013
12/28/2012,74.5,277,3360,2.5,8.3,556,12.9,96,3.2,0.1,0.014
12/29/2012,74.75,302,3650,3,8.3,503,12.7,94,3.5,0.1,0.016
12/30/2012,74.94,321,3850,2,8.2,497,12.3,90,3.7,0.15,0.019
12/31/2012,75.02,329,3870,1.8,8.3,568,12.2,91,4.2,0.16,0.021
1/1/2013,75.02,329,3960,2.3,8.3,568,12.2,91,4.2,0.16,0.021
1/2/2013,74.97,324,3850,2.3,8.2,537,12.2,90,4.2,0.16,0.021
1/3/2013,74.86,313,3680,2.3,8.3,506,12.2,89,5.2,0.13,0.018
1/4/2013,74.74,301,3570,2.2,8.2,497,12.6,92,4.6,0.11,0.015
1/5/2013,74.57,284,3400,2.4,8.2,509,12.5,94,4.7,0.11,0.014
1/6/2013,74.36,263,3180,3.5,8.2,514,12.5,94,4.6,0.11,0.013
1/7/2013,74.21,248,3100,3,8.3,514,12.5,94,4.6,0.11,0.013
1/8/2013,74.11,238,3080,2.5,8.2,504,12.9,96,4.7,0.09,0.015
1/9/2013,74.4,267,3480,3,8.1,505,12.3,92,4.3,0.11,0.011
1/10/2013,74.79,306,3980,3.5,8.2,505,12.2,91,4.7,0.09,0.015
1/11/2013,75.13,340,4390,4,8.1,498,12.3,93,5.1,0.1,0.015
1/12/2013,75.38,365,4700,3,8.1,492,12.4,93,4.8,0.11,0.01
1/13/2013,75.56,383,4920,2.4,8.2,459,12.5,95,4.8,0.15,0.01
1/14/2013,75.65,392,5010,4,8.2,459,12.5,95,4.8,0.15,0.01
1/15/2013,75.68,395,4980,3,8.2,431,12.2,93,5.9,0.13,0.016
1/16/2013,75.58,385,4890,4,8.1,443,12.1,93,4.9,0.13,0.018
1/17/2013,75.46,373,4690,4,8.2,460,12,92,5.1,0.1,0.013
1/18/2013,75.28,355,4400,4,8.2,463,12,92,4.6,0.11,0.014
1/19/2013,75.04,331,4030,3.5,8.2,488,12.2,91,4.6,0.1,0.014
1/20/2013,74.85,312,3750,3.2,8.2,496,12.3,93,4.8,0.13,0.015
1/21/2013,74.7,297,3500,3.8,8.2,496,12.3,94,4.2,0.09,0.017
1/22/2013,74.57,284,3310,3.5,8.1,497,12,91,3.9,0.12,0.015
1/23/2013,74.43,270,3180,3.5,8.1,518,12.3,92,4,0.09,0.016
1/24/2013,74.3,257,3040,3.5,8.1,518,12.2,91,3.6,0.09,0.012
1/25/2013,74.21,248,2920,3.4,8.1,515,13.4,100,3.7,0.08,0.013
1/26/2013,74.19,246,2880,3.4,8.1,515.75,13.1,97.75,3.675,0.0825,0.01275
1/27/2013,74.23,250,2840,2.5,8.0875,547.5,12.525,91.25,3.5,0.08,0.01325
1/28/2013,74.26,253,2810,2.3,8.1,547,12.5,91,3.6,0.08,0.013
1/29/2013,74.18,245,2720,3,8.05,549,12.6,92,3.2,0.08,0.014
1/30/2013,74.05,232,2610,2.4,8,552,12.8,94,2.8,0.12,0.015
1/31/2013,73.89,216,2480,2.6,8.1,561,12.8,95,3.2,0.09,0.015
2/1/2013,73.76,203,2420,2.8,8.1,563,12.8,95,2.9,0.09,0.014
2/2/2013,73.77,204,2530,2.9,8.1,578,12.8,96,3.1,0.09,0.013
2/3/2013,74.13,240,2970,3,8.2,581,12.8,98,2.8,0.09,0.014
2/4/2013,74.62,289,3510,3,8.2,582,12.5,93,2.9,0.09,0.015
2/5/2013,75.04,331,3920,3,8.2,586,12.7,94,3.5,0.1,0.014
2/6/2013,75.39,366,4280,3,8.2,573,12.4,94,3.8,0.1,0.016
2/7/2013,75.64,391,4430,3.3,8.2,547,12.5,96,3.9,0.11,0.015
2/8/2013,75.8,407,4580,3.4,8.2,531,12.8,96,4.4,0.1,0.013
2/9/2013,75.92,419,4680,3.5,8.3,509,12.4,93,4.8,0.13,0.009
2/10/2013,76.02,429,4740,3.5,8.2,522,12.6,94,4.4,0.13,0.016
2/11/2013,76.11,438,4820,3.5,8.2,520,12.8,96,4.3,0.11,0.019
2/12/2013,76.17,444,4910,3.5,8.3,513,12.8,96,4.7,0.13,0.021
2/13/2013,76.19,446,4910,3.5,8.3,558,13.1,99,5.3,0.13,0.013
2/14/2013,76.1,437,4800,3.5,8.3,524,12.2,91,4,0.11,0.023
2/15/2013,75.95,422,4600,3.5,8.2,524,12.2,91,4,0.11,0.023
2/16/2013,75.76,403,4340,3.5,8.2,528,12.2,94,4,0.11,0.023
2/17/2013,75.55,382,4100,3.5,8.2,532,12.6,95,4.7,0.1,0.018
2/18/2013,75.33,360,3880,3.5,8.2,545,12.4,93,4.9,0.1,0.018
2/19/2013,75.11,338,3690,3.5,8.2,554,13,98,4.5,0.1,0.017
2/20/2013,74.9,317,3500,3.5,8.3,560,12.8,96,4.1,0.09,0.019
2/21/2013,74.7,297,3330,3.5,8.2,492,12.6,94,3.8,0.08,0.019
2/22/2013,74.53,280,3190,3.5,8.1,504,13,97,4.1,0.09,0.021
2/23/2013,74.43,270,3120,3.5,8.1,501,12.4,94,3.7,0.12,0.018
2/24/2013,74.42,269,3110,3.5,8.1,518,12.6,96,3.7,0.09,0.018
2/25/2013,74.36,263,3060,4,8.2,524,12.5,96,3.7,0.08,0.021
2/26/2013,74.27,254,3000,4.5,8.1,514,12.7,99,3.6,0.08,0.019
2/27/2013,74.28,255,2980,4.4,8.1,517,12.5,96,3.4,0.08,0.021
2/28/2013,74.39,266,3060,4.5,8.1,533,12.5,96,3.8,0.07,0.019
3/1/2013,74.71,298,3290,4.5,8.1,524,12.6,97,3.7,0.08,0.021
3/2/2013,74.88,315,3470,4.5,8.1,511,12.4,96,3.2,0.07,0.02
3/3/2013,75.08,335,3650,4.5,8.1,478,12.2,95,3.8,0.11,0.018
3/4/2013,75.21,348,3780,4.5,8.1,460,12.6,95,3.9,0.12,0.022
3/5/2013,75.29,356,3880,4.5,8.1,460,12.3,95,4.7,0.1,0.017
3/6/2013,75.34,361,3910,4.5,8.1,475,12.4,97,4,0.06,0.021
3/7/2013,75.3,357,3840,5,8.1,476,12.1,96,4.2,0.09,0.023
3/8/2013,75.21,348,3740,5.5,8.1,477,12.2,97,4.5,0.12,0.022
3/9/2013,75.09,336,3670,5.8,8.2,489,12,96,4.4,0.1,0.021
3/10/2013,75.05,332,3680,6.2,8.2,489,12,97,4.3,0.1,0.014
3/11/2013,75.08,335,3730,6.2,8.2,494,11.8,96,4.4,0.06,0.021
3/12/2013,75.21,348,3850,7,8.2,487,11.8,97,3.9,0.05,0.017
3/13/2013,75.43,370,4020,7,8.3,494,11.7,98,4.2,0.03,0.016
3/14/2013,75.66,393,4120,7.6,8.3,485,12,101,4.2,0.03,0.015
3/15/2013,75.85,412,4210,6.7,8.2,480,11.6,94,4.2,0.07,0.009
3/16/2013,76.01,428,4310,6.4,8.2,480,11.6,94,4.2,0.07,0.009
3/17/2013,76.14,441,4400,6,8.2,480,11.6,94,4.2,0.07,0.009
3/18/2013,76.27,454,4540,5.7,8.3,450,12,95,3.8,0.05,0.015
3/19/2013,76.31,458,4480,5.7,8.3,450,12,95,3.8,0.05,0.015
3/20/2013,76.27,454,4390,5.7,8.3,450,12,95,3.8,0.05,0.015
3/21/2013,76.2,447,4300,5.7,8.1,432,11.9,95,4.9,0.05,0.016
3/22/2013,76.1,437,4070,6,8.1,429,12.2,98,3.7,0.05,0.013
3/23/2013,76.04,431,4000,6,8.2,450,12,96,3.8,0.04,0.014
3/24/2013,76.03,430,3990,5.8,8.2,443,12.4,99,3.5,0.04,0.012
3/25/2013,76.04,431,4010,5,8.1,444,12.3,97,4.4,0.04,0.013
3/26/2013,76.03,430,3930,5,8.1,443,12.4,98,4.3,0.05,0.013
3/27/2013,75.92,419,3760,5,8.1,442,12.4,97,4.8,0.04,0.014
3/28/2013,75.79,406,3600,4.5,8.2,459,12.2,94,4.2,0.04,0.013
3/29/2013,75.69,396,3500,4.5,8.2,459,12.9,100,3.9,0.04,0.013
3/30/2013,75.58,385,3330,4.5,8.2,463,12.3,96,3.7,0.03,0.015
3/31/2013,75.5,377,3280,4.5,8.3,468,12.8,99,3.8,0.02,0.013
4/1/2013,75.48,375,3300,4.8,8.3,467,12.8,102,3.7,0.02,0.013
4/2/2013,75.54,381,3430,4.8,8.2,468,12.7,103,3.9,0.03,0.014
4/3/2013,75.68,395,3620,5.4,8.1,503,12.8,102,3.8,0.03,0.014
4/4/2013,75.87,414,3860,5.4,8.2,495,12.7,102,4.3,0.03,0.014
4/5/2013,76.08,435,4110,5.4,8.3,483,12.4,98,3.5,0.04,0.014
4/6/2013,76.23,450,4230,5,8.2,486,12.2,96,4,0.05,0.013
4/7/2013,76.35,462,4310,5.5,8.2,474,12.1,96,4.8,0.03,0.014
4/8/2013,76.45,472,4360,5.4,8.2,480,11.7,94,4.9,0.09,0.013
4/9/2013,76.53,480,4390,5.8,8.2,451,11.6,92,5.5,0.1,0.012
4/10/2013,76.58,485,4370,5.5,8.3,452,11.3,90,5.2,0.07,0.02
4/11/2013,76.59,486,4300,6,8.3,456,11.5,92,4.4,0.08,0.021
4/12/2013,76.56,483,4200,6,8.3,471,11.3,92,4.7,0.09,0.019
4/13/2013,76.5,477,4060,8.5,8.3,476,11.2,92,4.9,0.07,0.022
4/14/2013,76.43,470,3970,8.5,8.3,457,11.4,97,4.4,0.05,0.022
4/15/2013,76.37,464,3930,9.6,8.3,499,11.4,100,4.4,0.04,0.019
4/16/2013,76.35,462,3940,10.5,8.3,516,11.7,104,4.4,0.04,0.017
4/17/2013,76.36,463,3990,11,8.3,520,11.5,103,4.5,0.04,0.02
4/18/2013,76.39,466,4010,11.5,8.3,516,11.5,103,4.2,0.02,0.015
4/19/2013,76.42,469,4080,11.8,8.3,519,12,110,4.4,0.03,0.014
4/20/2013,76.45,472,4080,12,8.3,514,12.3,114,4.3,0.03,0.013
4/21/2013,76.49,476,4110,12,8.3,508,12,112,4.5,0.02,0.013
4/22/2013,76.55,482,4190,13,8.3,487,11.7,111,4.8,0.02,0.012
4/23/2013,76.62,489,4280,13.4,8.1,472,11.4,108,4.2,0.03,0.012
4/24/2013,76.68,495,4340,13.8,8.2,483,11,106,4.1,0.03,0.013
4/25/2013,76.75,502,4440,13.6,8.2,467,11.1,107,4,0.03,0.012
4/26/2013,76.82,509,4520,14.6,8.2,467,10.2,100,3.5,0.03,0.01
4/27/2013,76.88,515,4590,15,8.2,450,10.1,99,4,0.04,0.012
4/28/2013,76.91,518,4600,15.5,8.2,437,9.9,98,4.1,0.03,0.013
4/29/2013,76.92,519,4600,15.5,8.3,428,9.8,99,3.5,0.03,0.011
4/30/2013,76.89,516,4560,16,8.3,414,9.6,97,4,0.03,0.012
5/1/2013,76.83,510,4500,16,8.3,417.5,9.65,97.5,3.875,0.03,0.01175
5/2/2013,76.77,504,4480,16,8.3,400,9.275,95,3.5,0.03,0.012
5/3/2013,76.73,500,4470,16.8,8.3,403,9.3,95,3.5,0.03,0.011
5/4/2013,76.68,495,4450,17.5,8.3,391,9.2,95,3.5,0.03,0.015
5/5/2013,76.63,490,4430,17.8,8.3,391,9.2,95,3.5,0.03,0.015
5/6/2013,76.6,487,4480,18,8.3,378,9.5,101,3.9,0.04,0.014
5/7/2013,76.6,487,4540,17.3,8.3,378,9.5,101,3.9,0.04,0.014
5/8/2013,76.6,487,4620,17,8.3,372,9.5,98,4,0.04,0.012
5/9/2013,76.62,489,4750,16.8,8.3,370,9.2,97,3.2,0.05,0.012
5/10/2013,76.64,491,4840,17,8.4,370,8.8,92,3.1,0.04,0.014
5/11/2013,76.65,492,4960,16.7,8.3,361,8.2,86,4,0.07,0.015
5/12/2013,76.66,493,5090,17,8.3,359,8.5,89,3.7,0.05,0.013
5/13/2013,76.63,490,5180,17.4,8.3,364,8.5,89,3.2,0.04,0.017
5/14/2013,76.57,484,5200,16,8.3,359,8.3,86,3.7,0.1,0.016
5/15/2013,76.49,476,5190,16,8.3,370,8.3,85,3.5,0.06,0.019
5/16/2013,76.44,471,5260,16.3,8.3,361,8.2,83,3.7,0.06,0.017
5/17/2013,76.41,468,5320,16,8.2,358,8.7,89,3.5,0.05,0.017
5/18/2013,76.37,464,5340,16.2,8.2,360,8.3,86,4.1,0.04,0.014
5/19/2013,76.31,458,5280,16.6,8.1,350,8.4,87,3.1,0.05,0.018
5/20/2013,76.23,450,5210,17,8.1,357,8.6,89,3.4,0.06,0.017
5/21/2013,76.12,439,5050,17,8.1,362,8.8,92,3.5,0.05,0.019
5/22/2013,75.98,425,4890,17.5,8.1,366,8.5,89,3.2,0.06,0.016
5/23/2013,75.82,409,4740,17.5,8.1,373,8.6,90,3.3,0.06,0.017
5/24/2013,75.65,392,4530,17,8,375,8.5,90,3.4,0.05,0.015
5/25/2013,75.47,374,4300,17,8,370,8.2,86,3.9,0.05,0.016
5/26/2013,75.3,357,4100,17,8,373,8.3,86,3.4,0.05,0.018
5/27/2013,75.15,342,3900,16.7,7.9,373,8.5,88,3.7,0.05,0.013
5/28/2013,75.02,329,3730,16.5,7.9,375,8.8,92,3.6,0.04,0.014
5/29/2013,74.88,315,3550,16.3,7.9,385,9,93,3.5,0.04,0.014
5/30/2013,74.76,303,3380,16.5,8,385,9.5,98,3.7,0.05,0.019
5/31/2013,74.72,299,3340,16,7.9,383,9.5,98,3.2,0.03,0.016
6/1/2013,74.79,306,3420,16,8,381,10,104,3.8,0.04,0.013
6/2/2013,74.92,319,3540,16,8,394,10.2,105,3,0.04,0.015
6/3/2013,75.08,335,3720,16.4,8,389,10.15,104.5,3.15,0.035,0.0135
6/4/2013,75.34,361,4050,15.5,8,384,10.1,104,3.3,0.03,0.012
6/5/2013,75.62,389,4410,15.5,8,380,10.7,110,3.2,0.03,0.013
6/6/2013,75.86,413,4700,14.5,8,379.5,9.95,100,3.5,0.035,0.014
6/7/2013,76.07,434,4970,14.2,8,379,9.2,90,3.8,0.04,0.015
6/8/2013,76.29,456,5260,14,8,370,9.2,90,3.9,0.05,0.014
6/9/2013,76.54,481,5660,14,8,353,8.8,87,4.9,0.11,0.018
6/10/2013,76.88,515,6220,14.5,8.1,333,8.1,81,5.7,0.2,0.027
6/11/2013,77.25,552,6790,15,8.2,328,7.7,78,4.5,0.24,0.038
6/12/2013,77.64,591,7280,15,8.3,327,7.5,76,5.5,0.2,0.036
6/13/2013,78.01,628,7650,15.6,8.3,326,7.4,75,4.7,0.26,0.041
6/14/2013,78.3,657,8010,15.6,8.3,330,7.3,75,5.1,0.2,0.042
6/15/2013,78.46,673,8110,15.8,8.3,331,6.9,72,5.2,0.17,0.055
6/16/2013,78.52,679,8120,17,8.4,340,7,74,5,0.11,0.058
6/17/2013,78.49,676,8040,18,8.3,385,6.8,73,5,0.08,0.058
6/18/2013,78.42,669,7870,18.4,8.3,382,6.6,72,4.9,0.06,0.049
6/19/2013,78.31,658,7770,19.5,8.1,390,6.9,77,4.5,0.05,0.048
6/20/2013,78.16,643,7480,19.8,8.1,390,6.9,78,4.5,0.03,0.044
6/21/2013,78.03,630,7320,21,8.1,400,7,80,4.5,0,0.039
6/22/2013,77.86,613,7110,21.5,8.2,404,6.9,80,4.3,0.02,0.033
6/23/2013,77.69,596,6940,21,8,407,6.9,79,4.7,0.03,0.033
6/24/2013,77.51,578,6770,22.1,7.9,403,6.8,79,4,0.04,0.03
6/25/2013,77.33,560,6570,22,7.8,406,6.4,75,4.3,0.05,0.028
6/26/2013,77.13,540,6360,22.2,7.9,412,6.4,73,4.3,0.05,0.027
6/27/2013,76.91,518,6100,22.2,7.8,400,6.6,75,4.4,0.06,0.027
6/28/2013,76.71,498,5840,21.2,7.9,406,7,79,3.5,0.07,0.028
6/29/2013,76.55,482,5650,21,7.8,399,7.5,85,3.5,0.05,0.026
6/30/2013,76.45,472,5590,22,7.9,388,7.5,84,3.9,0.07,0.02
7/1/2013,76.41,468,5560,19,7.9,382,8,87,3.5,0.05,0.025
7/2/2013,76.36,463,5500,19,7.9,358,7.9,86,4,0.04,0.027
7/3/2013,76.36,463,5500,19.5,7.8,354,8.1,89,3.5,0.04,0.025
7/4/2013,76.29,456,5380,19.5,7.8,360,8.1,90,3.9,0.04,0.024
7/5/2013,76.18,445,5260,19.5,7.8,366,8.3,92,4,0.08,0.024
7/6/2013,76.02,429,5080,20,7.8,364.5,8.25,91.5,3.975,0.07,0.024
7/7/2013,75.81,408,4810,20,7.9,385,8.1,92,3.675,0.0475,0.0175
7/8/2013,75.59,386,4580,21,7.9,384,8.2,93,3.6,0.05,0.018
7/9/2013,75.41,368,4470,21.5,7.9,388,7.8,89,3.9,0.04,0.016
7/10/2013,75.27,354,4380,21.6,7.9,392,7.9,92,3.6,0.06,0.017
7/11/2013,75.14,341,4260,22,7.9,395,8.3,96,4,0.05,0.013
7/12/2013,75.02,329,4140,22,7.9,391,8.6,100,4,0.07,0.016
7/13/2013,74.86,313,3960,22,7.8,392,9.3,108,5,0.06,0.014
7/14/2013,74.7,297,3800,22.5,7.8,389,9.6,113,4.3,0.06,0.014
7/15/2013,74.55,282,3650,22.5,7.7,390,9.8,114,3.9,0.06,0.012
7/16/2013,74.41,268,3530,22.2,7.9,383,9.8,114,3.7,0.05,0.013
7/17/2013,74.22,249,3320,21.7,7.9,378,9.9,114,4.2,0.04,0.015
7/18/2013,74.05,232,3130,22,8,370,10.8,126,4.6,0.04,0.015
7/19/2013,73.87,214,2960,22.4,8,365,11.6,136,5.4,0.06,0.016
7/20/2013,73.7,197,2790,23,8.2,357,11.7,139,4.5,0.06,0.015
7/21/2013,73.53,180,2660,23.4,8,353,11.2,133,4.7,0.07,0.017
7/22/2013,73.45,172,2590,24,7.8,355,9.9,117,4.3,0.06,0.013
7/23/2013,73.41,168,2600,23.8,8,356,8.9,106,4.6,0.06,0.013
7/24/2013,73.36,163,2580,23.8,8.1,359,8.2,98,3.8,0.06,0.011
7/25/2013,73.29,156,2540,24.2,8.3,358,8.1,98,4.1,0.05,0.013
7/26/2013,73.21,148,2480,24.7,8.4,363,8,98,3.5,0.06,0.011
7/27/2013,73.11,138,2410,25,8.5,363,8,99,3.4,0.08,0.014
7/28/2013,73.04,131,2350,25.3,8.5,364,7.8,98,3.5,0.07,0.014
7/29/2013,73.01,128,2350,25.5,8.4,363,7.8,97,3.6,0.05,0.012
7/30/2013,73.02,129,2370,25.5,8.4,363,8.4,105,3.4,0.03,0.012
7/31/2013,73,127,2360,25.2,8.5,361,8.4,104,3.7,0.03,0.014
8/1/2013,72.94,121,2270,25.5,8.4,360,8.4,104,3.5,0.04,0.012
8/2/2013,72.88,115,2210,25.4,8.4,362,9,113,3.3,0.05,0.011
8/3/2013,72.82,109,2150,26,8.4,370,9.1,114,3.3,0.04,0.011
8/4/2013,72.76,103,2100,26,8.3,360,9.3,118,3.4,0.03,0.012
8/5/2013,72.72,99,2080,26,8.4,361,8.6,108,3.7,0.05,0.012
8/6/2013,72.68,95,2050,26,8.3,362,7.9,99,3.1,0.06,0.015
8/7/2013,72.62,89,2010,26,8.3,363,8,101,3.6,0.05,0.015
8/8/2013,72.56,83,1970,26.5,8.2,363,7.7,98,3.7,0.06,0.012
8/9/2013,72.51,78,1960,26.5,8.1,368,7.8,99,3.7,0.05,0.011
8/10/2013,72.49,76,1950,27,8.1,365,7.8,99,3.9,0.04,0.016
8/11/2013,72.48,75,1970,26.5,8.1,362,7.7,97,4.1,0.04,0.012
8/12/2013,72.5,77,1970,26.5,8.2,363,7.5,95,4.7,0.03,0.01
8/13/2013,72.52,79,2000,26.5,8.2,365,7.8,98,4.2,0.06,0.011
8/14/2013,72.56,83,2040,26.5,8.3,365,8.1,102,3.5,0.04,0.015
8/15/2013,72.64,91,2130,25,8.3,361,7.9,97,3.6,0.05,0.015
8/16/2013,72.7,97,2150,25.5,8.4,361,8.2,100,4.1,0.05,0.013
8/17/2013,72.69,96,2120,25.5,8.4,367,8.6,104,3.6,0.04,0.013
8/18/2013,72.64,91,2060,25,8.3,368,9.2,111,4.1,0.04,0.012
8/19/2013,72.57,84,2010,25,8.2,365,8.9,108,3.2,0.05,0.011
8/20/2013,72.48,75,1940,25,8.1,367,9.6,117,4.3,0.03,0.014
8/21/2013,72.39,66,1870,24,8.2,372,9.5,115,3.6,0.05,0.015
8/22/2013,72.31,58,1820,24,8.3,378,9,113,4.2,0.05,0.013
8/23/2013,72.26,53,1770,24,8.3,378,9.7,121,4.1,0.05,0.014
8/24/2013,72.26,53,1770,24,8.3,378,9.7,116,3.5,0.04,0.014
8/25/2013,72.36,63,1880,23.5,8.3,383,10.2,121,3.8,0.05,0.014
8/26/2013,72.51,78,2020,23,8.3,380,9.4,111,3.9,0.05,0.013
8/27/2013,72.61,88,2080,23,8.3,391,8.9,106,4.2,0.05,0.016
8/28/2013,72.63,90,2070,22.2,8.3,392,8.3,97,3.7,0.05,0.014
8/29/2013,72.64,91,2080,22,8.2,385,8.5,98,3.9,0.05,0.012
8/30/2013,72.75,102,2200,21.5,8.3,390,8.2,94,4,0.04,0.012
8/31/2013,72.97,124,2370,21.5,8.275,388.75,8.275,95,3.975,0.0425,0.012
9/1/2013,73.23,150,2580,21.5,8.3,389.5,8.07,93,3.5,0.04,0.013
9/2/2013,73.51,178,2850,21.5,8.3,389,8.2,95,3.4,0.04,0.013
9/3/2013,73.69,196,2990,21.5,8.3,391,7.68,87,3.8,0.04,0.013
9/4/2013,73.61,188,2840,20,8.3,382,7.5,84,3.7,0.06,0.013
9/5/2013,73.39,166,2590,20.5,8.2,383,7.5,84,3.6,0.04,0.013
9/6/2013,73.15,142,2380,20,8.3,383,8,89,3.5,0.04,0.013
9/7/2013,72.99,126,2270,20,8.275,383,7.875,87.75,3.525,0.04,0.013
9/8/2013,72.89,116,2210,19.5,8.225,384,7.775,86.5,2.95,0.0425,0.012
9/9/2013,72.79,106,2130,19.5,8.2,383,7.7,86,2.9,0.04,0.012
9/10/2013,72.67,94,2050,19.5,8.3,387,8,88,3.1,0.05,0.012
