Reka,Stanica,Datum,H (cm),NS - Proticaj (m3/s),NS - T vode   (°C),NS - Ep. (µS/cm),NS - O2 (mg/l)
DUNAV,NOVI SAD,3/23/2024,256,3058.75,11.13,452.67,11.2
DUNAV,NOVI SAD,3/24/2024,256,3058.75,11.07,455.33,11.2
DUNAV,NOVI SAD,3/25/2024,257,3066.65,11,458,11.2
DUNAV,NOVI SAD,3/26/2024,259,3082.49,11.6,458,11.3
DUNAV,NOVI SAD,3/27/2024,259,3082.49,11.7,475,11.5
DUNAV,NOVI SAD,3/28/2024,255,3050.86,12.1,472,11.8
DUNAV,NOVI SAD,3/29/2024,245,2972.71,12.2,472,11.9
DUNAV,NOVI SAD,3/30/2024,243,2957.24,12.33,470,11.77
DUNAV,NOVI SAD,3/31/2024,241,2941.83,12.47,468,11.63
DUNAV,NOVI SAD,4/1/2024,239,2926.47,12.6,466,11.5
DUNAV,NOVI SAD,4/2/2024,240,2934.14,13,458,12
DUNAV,NOVI SAD,4/3/2024,242,2949.53,13.3,453,12.5
DUNAV,NOVI SAD,4/4/2024,244,2964.97,13.8,451,12.3
DUNAV,NOVI SAD,4/5/2024,251,3019.44,14.4,447,12.4
DUNAV,NOVI SAD,4/6/2024,262,3106.36,14.6,441.67,12.3
DUNAV,NOVI SAD,4/7/2024,273,3194.92,14.8,436.33,12.2
DUNAV,NOVI SAD,4/8/2024,283,3276.83,15,431,12.1
DUNAV,NOVI SAD,4/9/2024,278,3235.71,15.2,426,12.2
DUNAV,NOVI SAD,4/10/2024,265,3130.35,15.6,427,12.4
DUNAV,NOVI SAD,4/11/2024,250,3011.61,15.7,426,12.1
DUNAV,NOVI SAD,4/12/2024,245,2972.71,15.7,423,12.3
DUNAV,NOVI SAD,4/13/2024,246,2980.46,16.17,418,12.2
DUNAV,NOVI SAD,4/14/2024,247,2988.23,16.63,413,12.1
DUNAV,NOVI SAD,4/15/2024,248,2996.01,17.1,408,12
DUNAV,NOVI SAD,4/16/2024,242,2949.53,17.4,398,11.5
DUNAV,NOVI SAD,4/17/2024,231,2865.56,16,397,11.9
DUNAV,NOVI SAD,4/18/2024,220,2783.22,15.2,399,10.7
DUNAV,NOVI SAD,4/19/2024,218,2768.43,15,401,10.7
DUNAV,NOVI SAD,4/20/2024,235,2895.91,14.87,397.67,10.73
DUNAV,NOVI SAD,4/21/2024,252,3027.27,14.73,394.33,10.77
DUNAV,NOVI SAD,4/22/2024,269,3162.53,14.6,391,10.8
DUNAV,NOVI SAD,4/23/2024,269,3162.53,14.6,389,11.3
DUNAV,NOVI SAD,4/24/2024,267,3146.41,14.2,384,11.1
DUNAV,NOVI SAD,4/25/2024,255,3050.86,13.8,385,11.4
DUNAV,NOVI SAD,4/26/2024,247,2988.23,13.6,389,11.6
DUNAV,NOVI SAD,4/27/2024,246,2980.46,13.73,386,11.93
DUNAV,NOVI SAD,4/28/2024,245,2972.71,13.87,383,12.27
DUNAV,NOVI SAD,4/29/2024,244,2964.97,14,380,12.6
DUNAV,NOVI SAD,4/30/2024,240,2934.14,14.4,380,12.2
DUNAV,NOVI SAD,5/1/2024,236.29,2905.7,14.89,379.14,12.13
DUNAV,NOVI SAD,5/2/2024,232.57,2877.46,15.37,378.29,12.06
DUNAV,NOVI SAD,5/3/2024,228.86,2849.39,15.86,377.43,11.99
DUNAV,NOVI SAD,5/4/2024,225.14,2821.52,16.34,376.57,11.91
DUNAV,NOVI SAD,5/5/2024,221.43,2793.83,16.83,375.71,11.84
DUNAV,NOVI SAD,5/6/2024,217.71,2766.32,17.31,374.86,11.77
DUNAV,NOVI SAD,5/7/2024,214,2739,17.8,374,11.7
DUNAV,NOVI SAD,5/8/2024,221,2790.64,18,369,11.7
DUNAV,NOVI SAD,5/9/2024,216,2753.69,18.1,367,11.5
DUNAV,NOVI SAD,5/10/2024,208,2695.26,18.2,362,11.4
DUNAV,NOVI SAD,5/11/2024,215.67,2751.24,18.27,365,11.43
DUNAV,NOVI SAD,5/12/2024,223.33,2808,18.33,368,11.47
DUNAV,NOVI SAD,5/13/2024,231,2865.56,18.4,371,11.5
DUNAV,NOVI SAD,5/14/2024,242,2949.53,18.8,369,11.7
DUNAV,NOVI SAD,5/15/2024,243,2957.24,18.7,372,11.2
DUNAV,NOVI SAD,5/16/2024,231,2865.56,18.7,368,11.4
DUNAV,NOVI SAD,5/17/2024,220,2783.22,18.7,360,10.6
DUNAV,NOVI SAD,5/18/2024,215.33,2748.79,19.13,356,10.83
DUNAV,NOVI SAD,5/19/2024,210.67,2714.64,19.57,352,11.07
DUNAV,NOVI SAD,5/20/2024,206,2680.79,20,348,11.3
DUNAV,NOVI SAD,5/21/2024,218,2768.43,20,350,11.1
DUNAV,NOVI SAD,5/22/2024,243,2957.24,20,349,11
DUNAV,NOVI SAD,5/23/2024,256,3058.75,19.4,344,9.2
DUNAV,NOVI SAD,5/24/2024,259,3082.49,19.2,343,8.8
DUNAV,NOVI SAD,5/25/2024,266.67,3143.73,19.57,345.33,8.93
DUNAV,NOVI SAD,5/26/2024,274.33,3205.76,19.93,347.67,9.07
DUNAV,NOVI SAD,5/27/2024,282,3268.58,20.3,350,9.2
DUNAV,NOVI SAD,5/28/2024,295,3376.91,20.2,342,9
DUNAV,NOVI SAD,5/29/2024,299,3410.7,20.3,339,9.3
DUNAV,NOVI SAD,5/30/2024,295,3376.91,20.6,338,9.1
DUNAV,NOVI SAD,5/31/2024,289,3326.63,21,339,8.2
DUNAV,NOVI SAD,6/1/2024,289,3326.63,21.07,339.33,8.1
DUNAV,NOVI SAD,6/2/2024,289,3326.63,21.13,339.67,8
DUNAV,NOVI SAD,6/3/2024,289,3326.63,21.2,340,7.9
DUNAV,NOVI SAD,6/4/2024,301,3427.67,20.9,339,7.9
DUNAV,NOVI SAD,6/5/2024,322,3609.16,20.8,338,7.7
DUNAV,NOVI SAD,6/6/2024,353,3887.92,20.8,339,7.6
DUNAV,NOVI SAD,6/7/2024,381,4150.82,21.2,346,7.6
DUNAV,NOVI SAD,6/8/2024,399.33,4328.68,20.8,338.33,7.67
DUNAV,NOVI SAD,6/9/2024,417.67,4511.05,20.4,330.67,7.73
DUNAV,NOVI SAD,6/10/2024,436,4697.95,20,323,7.8
DUNAV,NOVI SAD,6/11/2024,453,4875.29,19.8,323,7.2
DUNAV,NOVI SAD,6/12/2024,474,5099.74,19.9,322,6.9
DUNAV,NOVI SAD,6/13/2024,497,5352.36,19.4,324,6.7
DUNAV,NOVI SAD,6/14/2024,517,5577.83,19.4,329,6.5
DUNAV,NOVI SAD,6/15/2024,529,5715.69,19.93,334.67,6.5
DUNAV,NOVI SAD,6/16/2024,541,5855.49,20.47,340.33,6.5
DUNAV,NOVI SAD,6/17/2024,553,5997.23,21,346,6.5
DUNAV,NOVI SAD,6/18/2024,562,6104.8,21.1,345,6.5
DUNAV,NOVI SAD,6/19/2024,564,6128.85,21.4,347,6.5
DUNAV,NOVI SAD,6/20/2024,561,6092.79,21.6,345,6.6
DUNAV,NOVI SAD,6/21/2024,551,5973.47,22,346,6.6
DUNAV,NOVI SAD,6/22/2024,534.33,5777.58,22.6,349.33,6.6
DUNAV,NOVI SAD,6/23/2024,517.67,5585.44,23.2,352.67,6.6
DUNAV,NOVI SAD,6/24/2024,501,5397.03,23.8,356,6.6
DUNAV,NOVI SAD,6/25/2024,482,5186.8,23,361,6.8
DUNAV,NOVI SAD,6/26/2024,464,4992.12,23.2,370,6.9
DUNAV,NOVI SAD,6/27/2024,447,4812.26,22.8,374,7
DUNAV,NOVI SAD,6/28/2024,433,4667.05,23,379,7.1
DUNAV,NOVI SAD,6/29/2024,415.67,4490.93,23.4,374.67,7.07
DUNAV,NOVI SAD,6/30/2024,398.33,4318.86,23.8,370.33,7.03
DUNAV,NOVI SAD,7/1/2024,381,4150.82,24.2,366,7
DUNAV,NOVI SAD,7/2/2024,371,4055.72,24,436,7.3
DUNAV,NOVI SAD,7/3/2024,357,3924.84,22.2,352,7.6
DUNAV,NOVI SAD,7/4/2024,342,3787.53,23.6,355,7.3
DUNAV,NOVI SAD,7/5/2024,331,3688.76,22.4,366,7.3
DUNAV,NOVI SAD,7/6/2024,330,3679.86,22.87,367.33,7.4
DUNAV,NOVI SAD,7/7/2024,329,3670.98,23.33,368.67,7.5
DUNAV,NOVI SAD,7/8/2024,328,3662.11,23.8,370,7.6
DUNAV,NOVI SAD,7/9/2024,316,3556.7,24,366,7.6
DUNAV,NOVI SAD,7/10/2024,292,3351.71,24.8,371,7.6
DUNAV,NOVI SAD,7/11/2024,269,3162.53,25.2,373,7.3
DUNAV,NOVI SAD,7/12/2024,262,3106.36,25.8,373,7.4
DUNAV,NOVI SAD,7/13/2024,258.33,3077.21,25.4,367.67,7.43
DUNAV,NOVI SAD,7/14/2024,254.67,3048.23,25,362.33,7.47
DUNAV,NOVI SAD,7/15/2024,251,3019.44,24.6,357,7.5
DUNAV,NOVI SAD,7/16/2024,246,2980.46,26.6,360,7.8
DUNAV,NOVI SAD,7/17/2024,258,3074.56,27,364,8.2
DUNAV,NOVI SAD,7/18/2024,272,3186.8,26.8,370,7.7
DUNAV,NOVI SAD,7/19/2024,278,3235.71,26.6,368,7.8
DUNAV,NOVI SAD,7/20/2024,267.33,3149.09,26.33,364.33,7.67
DUNAV,NOVI SAD,7/21/2024,256.67,3064.01,26.07,360.67,7.53
DUNAV,NOVI SAD,7/22/2024,246,2980.46,25.8,357,7.4
DUNAV,NOVI SAD,7/23/2024,240,2934.14,25.9,361,7.5
DUNAV,NOVI SAD,7/24/2024,235,2895.91,26,355,7.4
DUNAV,NOVI SAD,7/25/2024,226,2827.93,25.2,346,7.4
DUNAV,NOVI SAD,7/26/2024,213,2731.68,25,345,7.6
DUNAV,NOVI SAD,7/27/2024,207.33,2690.43,25.03,352.33,7.6
DUNAV,NOVI SAD,7/28/2024,201.67,2649.61,25.07,359.67,7.6
DUNAV,NOVI SAD,7/29/2024,196,2609.23,25.1,367,7.6
DUNAV,NOVI SAD,7/30/2024,191,2573.96,24.6,367,8
DUNAV,NOVI SAD,7/31/2024,188,2552.96,25,369,8.8
DUNAV,NOVI SAD,8/1/2024,174,2456.55,25,367,8.6
DUNAV,NOVI SAD,8/2/2024,159,2356.18,25.2,363,8.8
DUNAV,NOVI SAD,8/3/2024,148,2284.5,25.1,364,8.8
DUNAV,NOVI SAD,8/4/2024,137,2214.45,25,365,8.8
DUNAV,NOVI SAD,8/5/2024,126,2146.03,24.9,366,8.8
DUNAV,NOVI SAD,8/6/2024,125,2139.89,24.9,373,8.8
